rule,trendy/other,type,trendy/other,,weights
accel16,other,accel,0.4,0.06,0.01
accel32,other,accel,,,0.02
accel64,other,accel,,,0.03
carry10,other,carry,,0.18,0.03
carry125,other,carry,,,0.06
carry30,other,carry,,,0.04
carry60,other,carry,,,0.05
mrinasset160,other,mr,,0.04,0.02
mrwrings4,other,mr,,,0.02
relcarry,other,recarry,,0.08,0.08
skewabs180,other,skew,,0.04,0.01
skewabs365,other,skew,,,0.01
skewrv180,other,skew,,,0.01
skewrv365,other,skew,,,0.01
assettrend16,trendy,assettrend,0.6,0.15,0.03
assettrend2,trendy,assettrend,,,0.015
assettrend32,trendy,assettrend,,,0.03
assettrend4,trendy,assettrend,,,0.015
assettrend64,trendy,assettrend,,,0.04
assettrend8,trendy,assettrend,,,0.02
breakout10,trendy,breakout,,0.12,0.01
breakout160,trendy,breakout,,,0.03
breakout20,trendy,breakout,,,0.01
breakout320,trendy,breakout,,,0.03
breakout40,trendy,breakout,,,0.02
breakout80,trendy,breakout,,,0.02
momentum16,trendy,momentum,,0.1,0.02
momentum32,trendy,momentum,,,0.02
momentum4,trendy,momentum,,,0.01
momentum64,trendy,momentum,,,0.03
momentum8,trendy,momentum,,,0.02
normmom16,trendy,normmom,,0.11,0.02
normmom2,trendy,normmom,,,0.02
normmom32,trendy,normmom,,,0.02
normmom4,trendy,normmom,,,0.02
normmom64,trendy,normmom,,,0.03
normmom8,trendy,normmom,,,0.02
relmomentum10,trendy,relmom,,0.12,0.02
relmomentum20,trendy,relmom,,,0.02
relmomentum40,trendy,relmom,,,0.03
relmomentum80,trendy,relmom,,,0.03
